species_id,class,family,full_name,english_name,cites_status
98337,Mammalia,Felidae,Herpailurus yagouaroundi,Jaguarundi,Appendix I / II – Status depends on population
6330,Mammalia,Felidae,Puma concolor,Cougar (Mountain Lion,Appendix I / II – Status depends on population
12219,Mammalia,Mustelidae,Aonyx capensis microdon,Cameroon Clawless Otter (subspecies),Appendix I / II – Status depends on population
9829,Mammalia,Ursidae,Ursus arctos,Brown Bear,Appendix I / II – Status depends on population
5062,Mammalia,Antilocapridae,Antilocapra americana,Pronghorn,Appendix I – Species threatened with extinction
4464,Mammalia,Bovidae,Addax nasomaculatus,Addax,Appendix I – Species threatened with extinction
3905,Mammalia,Bovidae,Ammotragus lervia,Barbary Sheep (Aoudad),Appendix II – Trade regulated
4985,Mammalia,Bovidae,Antilope cervicapra,Blackbuck,Appendix III – National protection
5874,Mammalia,Bovidae,Bos gaurus,Gaur,Appendix I – Species threatened with extinction
7471,Mammalia,Bovidae,Bos mutus,Wild Yak,Appendix I – Species threatened with extinction
11180,Mammalia,Bovidae,Bos sauveli,Kouprey,Appendix I – Species threatened with extinction
65574,Mammalia,Bovidae,Boselaphus tragocamelus,Nilgai (Blue Bull),Appendix III – National protection
6811,Mammalia,Bovidae,Bubalus arnee,Wild Water Buffalo,Appendix III – National protection
4425,Mammalia,Bovidae,Bubalus depressicornis,Lowland Anoa,Appendix I – Species threatened with extinction
8124,Mammalia,Bovidae,Bubalus mindorensis,Tamaraw,Appendix I – Species threatened with extinction
10958,Mammalia,Bovidae,Bubalus quarlesi,Mountain Anoa,Appendix I – Species threatened with extinction
3135,Mammalia,Bovidae,Budorcas taxicolor,Takin,Appendix II – Trade regulated
67978,Mammalia,Bovidae,Capra caucasica,West Caucasian Tur,Appendix II – Trade regulated
3780,Mammalia,Bovidae,Capra falconeri,Markhor,Appendix I – Species threatened with extinction
65582,Mammalia,Bovidae,Capra hircus aegagrus,Wild Goat (Bezoar Ibex),Appendix III – National protection
65566,Mammalia,Bovidae,Capra sibirica,Siberian Ibex,Appendix III – National protection
3881,Mammalia,Bovidae,Capricornis milneedwardsii,Chinese Serow,Appendix I – Species threatened with extinction
3939,Mammalia,Bovidae,Capricornis rubidus,Red Serow,Appendix I – Species threatened with extinction
7979,Mammalia,Bovidae,Capricornis sumatraensis,Sumatran Serow,Appendix I – Species threatened with extinction
10594,Mammalia,Bovidae,Capricornis thar,Himalayan Serow,Appendix I – Species threatened with extinction
8418,Mammalia,Bovidae,Cephalophus brookei,Brooke's Duiker,Appendix II – Trade regulated
4497,Mammalia,Bovidae,Cephalophus dorsalis,Bay Duiker,Appendix II – Trade regulated
4194,Mammalia,Bovidae,Cephalophus jentinki,Jentink's Duiker,Appendix I – Species threatened with extinction
8002,Mammalia,Bovidae,Cephalophus ogilbyi,Ogilby's Duiker,Appendix II – Trade regulated
10119,Mammalia,Bovidae,Cephalophus silvicultor,Yellow-backed Duiker,Appendix II – Trade regulated
7092,Mammalia,Bovidae,Cephalophus zebra,Zebra Duiker,Appendix II – Trade regulated
12162,Mammalia,Bovidae,Damaliscus pygargus pygargus,Bontebok,Appendix II – Trade regulated
65567,Mammalia,Bovidae,Gazella bennettii,Chinkara (Indian Gazelle),Appendix III – National protection
3080,Mammalia,Bovidae,Gazella cuvieri,Cuvier's Gazelle,Appendix I – Species threatened with extinction
5673,Mammalia,Bovidae,Gazella dorcas,Dorcas Gazelle,Appendix III – National protection
9611,Mammalia,Bovidae,Gazella leptoceros,Rhim Gazelle (Slender-horned Gazelle),Appendix I – Species threatened with extinction
12301,Mammalia,Bovidae,Hippotragus niger variani,Giant Sable Antelope,Appendix I – Species threatened with extinction
4050,Mammalia,Bovidae,Kobus leche,Lechwe,Appendix II – Trade regulated
4344,Mammalia,Bovidae,Naemorhedus baileyi,Red Goral,Appendix I – Species threatened with extinction
7159,Mammalia,Bovidae,Naemorhedus caudatus,Long-tailed Goral,Appendix I – Species threatened with extinction
9378,Mammalia,Bovidae,Naemorhedus goral,Himalayan Goral,Appendix I – Species threatened with extinction
6231,Mammalia,Bovidae,Naemorhedus griseus,Chinese Goral,Appendix I – Species threatened with extinction
10002,Mammalia,Bovidae,Nanger dama,Dama Gazelle,Appendix I – Species threatened with extinction
11205,Mammalia,Bovidae,Oryx dammah,Scimitar-horned Oryx,Appendix I – Species threatened with extinction
4154,Mammalia,Bovidae,Oryx leucoryx,Arabian Oryx,Appendix I – Species threatened with extinction
7093,Mammalia,Bovidae,Ovis ammon,Argali,Appendix II – Trade regulated
35596,Mammalia,Bovidae,Ovis arabica,Arabian Wild Sheep,Appendix II – Trade regulated
98436,Mammalia,Bovidae,Ovis bochariensis,Bukhara Urial (Uzbek Urial),Appendix II – Trade regulated
3036,Mammalia,Bovidae,Ovis canadensis,Bighorn Sheep,Appendix II – Trade regulated
98883,Mammalia,Bovidae,Ovis collium,Kazakhstan Argali,Appendix II – Trade regulated
98424,Mammalia,Bovidae,Ovis cycloceros,Afghan Urial,Appendix II – Trade regulated
98884,Mammalia,Bovidae,Ovis darwini,Gobi Argali (Darwin's Argali),Appendix II – Trade regulated
33589,Mammalia,Bovidae,Ovis gmelini,Anatolian Wild Sheep (Mouflon),Appendix I – Species threatened with extinction
98423,Mammalia,Bovidae,Ovis hodgsoni,Tibetan Argali,Appendix I – Species threatened with extinction
32866,Mammalia,Bovidae,Ovis jubata,Manchurian Argali,Appendix II – Trade regulated
98885,Mammalia,Bovidae,Ovis karelini,Tianshan Argali,Appendix II – Trade regulated
30824,Mammalia,Bovidae,Ovis nigrimontana,Karaganda Argali,Appendix I – Species threatened with extinction
98886,Mammalia,Bovidae,Ovis polii,Marco Polo Argali,Appendix II – Trade regulated
98952,Mammalia,Bovidae,Ovis punjabiensis,Punjab Urial,Appendix II – Trade regulated
98887,Mammalia,Bovidae,Ovis severtzovi,Severtzov's Argali,Appendix II – Trade regulated
4814,Mammalia,Bovidae,Ovis vignei,Ladakh Urial,Appendix I – Species threatened with extinction
8117,Mammalia,Bovidae,Pantholops hodgsonii,Chiru (Tibetan Antelope),Appendix I – Species threatened with extinction
101271,Mammalia,Bovidae,Philantomba maxwellii,Maxwell's Duiker,Appendix II – Trade regulated
9997,Mammalia,Bovidae,Philantomba monticola,Blue Duiker,Appendix II – Trade regulated
65584,Mammalia,Bovidae,Pseudois nayaur,Bharal (Blue Sheep),Appendix III – National protection
10395,Mammalia,Bovidae,Pseudoryx nghetinhensis,Saola,Appendix I – Species threatened with extinction
12328,Mammalia,Bovidae,Rupicapra pyrenaica ornata,Abruzzo Chamois,Appendix II – Trade regulated
9751,Mammalia,Bovidae,Saiga borealis,Altai Saiga,Appendix II – Trade regulated
8765,Mammalia,Bovidae,Saiga tatarica,Saiga Antelope,Appendix II – Trade regulated
9831,Mammalia,Bovidae,Tetracerus quadricornis,Four-horned Antelope,Appendix III – National protection
10716,Mammalia,Camelidae,Lama guanicoe,Guanaco,Appendix II – Trade regulated
3436,Mammalia,Camelidae,Vicugna vicugna,Vicuña,Appendix I / II – Status depends on population
4889,Mammalia,Cervidae,Axis calamianensis,Calamian Deer,Appendix I – Species threatened with extinction
10380,Mammalia,Cervidae,Axis kuhlii,Kuhl's Deer (Bawean Deer),Appendix I – Species threatened with extinction
3218,Mammalia,Cervidae,Axis porcinus,Hog Deer,Appendix III – National protection
12317,Mammalia,Cervidae,Axis porcinus annamiticus,Indochinese Hog Deer,Appendix I – Species threatened with extinction
3625,Mammalia,Cervidae,Blastocerus dichotomus,Marsh Deer,Appendix I – Species threatened with extinction
12260,Mammalia,Cervidae,Cervus elaphus bactrianus,Bactrian Deer,Appendix II – Trade regulated
12327,Mammalia,Cervidae,Cervus elaphus barbarus,Barbary Deer,Appendix III – National protection
12225,Mammalia,Cervidae,Cervus elaphus hanglu,Hangul (Kashmir Stag),Appendix I – Species threatened with extinction
12218,Mammalia,Cervidae,Dama dama mesopotamica,Persian Fallow Deer,Appendix I – Species threatened with extinction
9206,Mammalia,Cervidae,Hippocamelus antisensis,North Andean Deer (Taruca),Appendix I – Species threatened with extinction
10636,Mammalia,Cervidae,Hippocamelus bisulcus,South Andean Deer (Huemul),Appendix I – Species threatened with extinction
12217,Mammalia,Cervidae,Mazama temama cerasina,Central American Red Brocket,Appendix III – National protection
8941,Mammalia,Cervidae,Muntiacus crinifrons,Black Muntjac,Appendix I – Species threatened with extinction
34430,Mammalia,Cervidae,Muntiacus vuquangensis,Large-antlered Muntjac (Giant Muntjac),Appendix I – Species threatened with extinction
12333,Mammalia,Cervidae,Odocoileus virginianus mayensis,Guatemalan White-tailed Deer,Appendix III – National protection
8832,Mammalia,Cervidae,Ozotoceros bezoarticus,Pampas Deer,Appendix I – Species threatened with extinction
5742,Mammalia,Cervidae,Pudu mephistophiles,Northern Pudu,Appendix II – Trade regulated
10291,Mammalia,Cervidae,Pudu puda,Southern Pudu,Appendix I – Species threatened with extinction
10612,Mammalia,Cervidae,Rucervus duvaucelii,Barasingha (Swamp Deer),Appendix I – Species threatened with extinction
4547,Mammalia,Cervidae,Rucervus eldii,Eld's Deer (Thamin),Appendix I – Species threatened with extinction
98186,Mammalia,Giraffidae,Giraffa camelopardalis,Giraffe (Northern Giraffe),Appendix II – Trade regulated
11049,Mammalia,Hippopotamidae,Hexaprotodon liberiensis,Pygmy Hippopotamus,Appendix II – Trade regulated
9229,Mammalia,Hippopotamidae,Hippopotamus amphibius,Common Hippopotamus,Appendix II – Trade regulated
4120,Mammalia,Moschidae,Moschus anhuiensis,Anhui Musk Deer,Appendix II – Trade regulated
9114,Mammalia,Moschidae,Moschus berezovskii,Forest Musk Deer,Appendix II – Trade regulated
9271,Mammalia,Moschidae,Moschus chrysogaster,Alpine Musk Deer,Appendix I / II – Status depends on population
8689,Mammalia,Moschidae,Moschus cupreus,Kashmir Musk Deer,Appendix I – Species threatened with extinction
9694,Mammalia,Moschidae,Moschus fuscus,Black Musk Deer,Appendix I / II – Status depends on population
10323,Mammalia,Moschidae,Moschus leucogaster,White-bellied Musk Deer,Appendix I – Species threatened with extinction
5311,Mammalia,Moschidae,Moschus moschiferus,Siberian Musk Deer,Appendix II – Trade regulated
3372,Mammalia,Suidae,Babyrousa babyrussa,Buru Babirusa,Appendix I – Species threatened with extinction
8703,Mammalia,Suidae,Babyrousa bolabatuensis,Bola Batu Babirusa,Appendix I – Species threatened with extinction
7226,Mammalia,Suidae,Babyrousa celebensis,North Sulawesi Babirusa,Appendix I – Species threatened with extinction
6992,Mammalia,Suidae,Babyrousa togeanensis,Togian Babirusa,Appendix I – Species threatened with extinction
7791,Mammalia,Suidae,Sus salvanius,Pygmy Hog,Appendix I – Species threatened with extinction
8725,Mammalia,Tayassuidae,Catagonus wagneri,Chacoan Peccary,Appendix I – Species threatened with extinction
8246,Mammalia,Tayassuidae,Pecari tajacu,Collared Peccary,Appendix II – Trade regulated
5827,Mammalia,Tayassuidae,Tayassu pecari,White-lipped Peccary,Appendix II – Trade regulated
7583,Mammalia,Ailuridae,Ailurus fulgens,Red Panda,Appendix I – Species threatened with extinction
9412,Mammalia,Canidae,Canis aureus,Golden Jackal,Appendix III – National protection
4442,Mammalia,Canidae,Canis lupus,Gray Wolf,Appendix I / II – Status depends on population
5656,Mammalia,Canidae,Cerdocyon thous,Crab-eating Fox,Appendix II – Trade regulated
6975,Mammalia,Canidae,Chrysocyon brachyurus,Maned Wolf,Appendix II – Trade regulated
5289,Mammalia,Canidae,Cuon alpinus,Dhole (Asiatic Wild Dog),Appendix II – Trade regulated
8023,Mammalia,Canidae,Lycalopex culpaeus,Culpeo,Appendix II – Trade regulated
7195,Mammalia,Canidae,Lycalopex fulvipes,Darwin's Fox,Appendix II – Trade regulated
8142,Mammalia,Canidae,Lycalopex griseus,South American Gray Fox,Appendix II – Trade regulated
8201,Mammalia,Canidae,Lycalopex gymnocercus,Pampas Fox,Appendix II – Trade regulated
7041,Mammalia,Canidae,Speothos venaticus,Bush Dog,Appendix I – Species threatened with extinction
7752,Mammalia,Canidae,Vulpes bengalensis,Bengal Fox,Appendix III – National protection
9199,Mammalia,Canidae,Vulpes cana,Blanford's Fox,Appendix II – Trade regulated
12245,Mammalia,Canidae,Vulpes vulpes griffithi,Griffith's Red Fox (subspecies),Appendix III – National protection
12177,Mammalia,Canidae,Vulpes vulpes montana,Montane Red Fox (subspecies),Appendix III – National protection
12174,Mammalia,Canidae,Vulpes vulpes pusilla,Desert Fox (subspecies),Appendix III – National protection
8895,Mammalia,Canidae,Vulpes zerda,Fennec Fox,Appendix II – Trade regulated
9088,Mammalia,Eupleridae,Cryptoprocta ferox,Fossa,Appendix II – Trade regulated
7930,Mammalia,Eupleridae,Eupleres goudotii,Falanouc,Appendix II – Trade regulated
8387,Mammalia,Eupleridae,Fossa fossana,Spotted Fanaloka,Appendix II – Trade regulated
8935,Mammalia,Felidae,Acinonyx jubatus,Cheetah,Appendix I – Species threatened with extinction
66085,Mammalia,Felidae,Caracal aurata,African Golden Cat,Appendix II – Trade regulated
4645,Mammalia,Felidae,Caracal caracal,Caracal,Appendix I / II – Status depends on population
5147,Mammalia,Felidae,Catopuma badia,Bay Cat,Appendix II – Trade regulated
8985,Mammalia,Felidae,Catopuma temminckii,Asian Golden Cat,Appendix I – Species threatened with extinction
11144,Mammalia,Felidae,Felis bieti,Chinese Mountain Cat,Appendix II – Trade regulated
9395,Mammalia,Felidae,Felis chaus,Jungle Cat,Appendix II – Trade regulated
36712,Mammalia,Felidae,Felis lybica,African Wildcat,Appendix II – Trade regulated
9009,Mammalia,Felidae,Felis margarita,Sand Cat,Appendix II – Trade regulated
6355,Mammalia,Felidae,Felis nigripes,Black-footed Cat,Appendix I – Species threatened with extinction
7300,Mammalia,Felidae,Felis silvestris,European Wildcat,Appendix II – Trade regulated
98332,Mammalia,Felidae,Leopardus colocola,Pampas Cat,Appendix II – Trade regulated
3167,Mammalia,Felidae,Leopardus geoffroyi,Geoffroy's Cat,Appendix I – Species threatened with extinction
7534,Mammalia,Felidae,Leopardus guigna,Guigna (Kodkod),Appendix II – Trade regulated
98882,Mammalia,Felidae,Leopardus guttulus,Southern Tiger Cat,Appendix I – Species threatened with extinction
98335,Mammalia,Felidae,Leopardus jacobita,Andean Cat,Appendix I – Species threatened with extinction
10120,Mammalia,Felidae,Leopardus pardalis,Ocelot,Appendix I – Species threatened with extinction
3399,Mammalia,Felidae,Leopardus tigrinus,Oncilla (Northern Tiger Cat),Appendix I – Species threatened with extinction
4427,Mammalia,Felidae,Leopardus wiedii,Margay,Appendix I – Species threatened with extinction
9160,Mammalia,Felidae,Leptailurus serval,Serval,Appendix II – Trade regulated
7928,Mammalia,Felidae,Lynx canadensis,Canada Lynx,Appendix II – Trade regulated
7414,Mammalia,Felidae,Lynx lynx,Eurasian Lynx,Appendix II – Trade regulated
8879,Mammalia,Felidae,Lynx pardinus,Iberian Lynx,Appendix I – Species threatened with extinction
4992,Mammalia,Felidae,Lynx rufus,Bobcat,Appendix II – Trade regulated
35601,Mammalia,Felidae,Neofelis diardi,Sunda Clouded Leopard,Appendix I – Species threatened with extinction
10199,Mammalia,Felidae,Neofelis nebulosa,Clouded Leopard,Appendix I – Species threatened with extinction
98338,Mammalia,Felidae,Otocolobus manul,Pallas's Cat,Appendix II – Trade regulated
6353,Mammalia,Felidae,Panthera leo,Lion,Appendix I / II – Status depends on population
6385,Mammalia,Felidae,Panthera onca,Jaguar,Appendix I – Species threatened with extinction
8619,Mammalia,Felidae,Panthera pardus,Leopard,Appendix I – Species threatened with extinction
6047,Mammalia,Felidae,Panthera tigris,Tiger,Appendix I – Species threatened with extinction
32743,Mammalia,Felidae,Panthera uncia,Snow Leopard,Appendix I – Species threatened with extinction
7454,Mammalia,Felidae,Pardofelis marmorata,Marbled Cat,Appendix I – Species threatened with extinction
10598,Mammalia,Felidae,Prionailurus bengalensis,Leopard Cat,Appendix II – Trade regulated
12271,Mammalia,Felidae,Prionailurus bengalensis bengalensis,Leopard Cat (mainland subspecies),Appendix I / II – Status depends on population
98333,Mammalia,Felidae,Prionailurus javanensis,Sunda Leopard Cat,Appendix II – Trade regulated
9833,Mammalia,Felidae,Prionailurus planiceps,Flat-headed Cat,Appendix I – Species threatened with extinction
9151,Mammalia,Felidae,Prionailurus rubiginosus,Rusty-spotted Cat,Appendix I / II – Status depends on population
8400,Mammalia,Felidae,Prionailurus viverrinus,Fishing Cat,Appendix II – Trade regulated
10277,Mammalia,Herpestidae,Herpestes edwardsi,Indian Gray Mongoose,Appendix III – National protection
7168,Mammalia,Herpestidae,Herpestes fuscus,Indian Brown Mongoose,Appendix III – National protection
6973,Mammalia,Herpestidae,Herpestes javanicus,Small Asian Mongoose,Appendix III – National protection
12195,Mammalia,Herpestidae,Herpestes javanicus auropunctatus,Small Asian Mongoose (introduced subspecies),Appendix III – National protection
6814,Mammalia,Herpestidae,Herpestes smithii,Ruddy Mongoose,Appendix III – National protection
11150,Mammalia,Herpestidae,Herpestes urva,Crab-eating Mongoose,Appendix III – National protection
8897,Mammalia,Herpestidae,Herpestes vitticollis,Stripe-necked Mongoose,Appendix III – National protection
10154,Mammalia,Hyaenidae,Hyaena hyaena,Striped Hyena,Appendix III – National protection
7432,Mammalia,Hyaenidae,Proteles cristata,Aardwolf,Appendix III – National protection
9154,Mammalia,Mephitidae,Conepatus humboldtii,Humboldt's Hog-nosed Skunk,Appendix II – Trade regulated
5285,Mammalia,Mustelidae,Aonyx capensis,African Clawless Otter,Appendix II – Trade regulated
37340,Mammalia,Mustelidae,Aonyx cinereus,Asian Small-clawed Otter,Appendix I – Species threatened with extinction
7275,Mammalia,Mustelidae,Enhydra lutris,Sea Otter,Appendix II – Trade regulated
12273,Mammalia,Mustelidae,Enhydra lutris nereis,Southern Sea Otter,Appendix I – Species threatened with extinction
9899,Mammalia,Mustelidae,Hydrictis maculicollis,Spotted-necked Otter,Appendix II – Trade regulated
4227,Mammalia,Mustelidae,Lontra canadensis,North American River Otter,Appendix II – Trade regulated
7817,Mammalia,Mustelidae,Lontra felina,Marine Otter,Appendix I – Species threatened with extinction
4391,Mammalia,Mustelidae,Lontra longicaudis,Neotropical River Otter,Appendix I – Species threatened with extinction
5716,Mammalia,Mustelidae,Lontra provocax,Southern River Otter,Appendix I – Species threatened with extinction
10941,Mammalia,Mustelidae,Lutra lutra,Eurasian Otter,Appendix I – Species threatened with extinction
3348,Mammalia,Mustelidae,Lutra nippon,Japanese River Otter,Appendix I – Species threatened with extinction
7756,Mammalia,Mustelidae,Lutra sumatrana,Hairy-nosed Otter,Appendix II – Trade regulated
7181,Mammalia,Mustelidae,Lutrogale perspicillata,Smooth-coated Otter,Appendix I – Species threatened with extinction
6787,Mammalia,Mustelidae,Pteronura brasiliensis,Giant Otter,Appendix I – Species threatened with extinction
6048,Mammalia,Mustelidae,Eira barbara,Tayra,Appendix III – National protection
8053,Mammalia,Mustelidae,Martes flavigula,Yellow-throated Marten,Appendix III – National protection
12265,Mammalia,Mustelidae,Martes foina intermedia,Beech Marten (intermediate subspecies),Appendix III – National protection
7173,Mammalia,Mustelidae,Martes gwatkinsii,Nilgiri Marten,Appendix III – National protection
9613,Mammalia,Mustelidae,Mellivora capensis,Honey Badger (Ratel),Appendix III – National protection
10866,Mammalia,Mustelidae,Mustela altaica,Alpine Weasel,Appendix III – National protection
12172,Mammalia,Mustelidae,Mustela erminea ferghanae,Stoat (Fergana subspecies),Appendix III – National protection
3096,Mammalia,Mustelidae,Mustela kathiah,Yellow-bellied Weasel,Appendix III – National protection
10039,Mammalia,Mustelidae,Mustela nigripes,Black-footed Ferret,Appendix I – Species threatened with extinction
6268,Mammalia,Mustelidae,Mustela sibirica,Siberian Weasel,Appendix III – National protection
9179,Mammalia,Odobenidae,Odobenus rosmarus,Walrus,Appendix III – National protection
